frame,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,499.4131774902344,422.62213134765625,450.1175842285156,420.55322265625
27,411.161865234375,429.32427978515625,335.9332275390625,454.32049560546875
55,401.0927429199219,415.3055114746094,343.44403076171875,419.87603759765625
83,303.8913879394531,399.09417724609375,323.5503234863281,379.57171630859375
111,,,,
139,546.209228515625,382.03045654296875,554.6312255859375,393.42926025390625
167,510.0722351074219,336.1647644042969,520.5955810546875,332.8868408203125
195,531.071533203125,331.0386047363281,519.2206420898438,338.3669128417969
223,632.3567504882812,314.7203369140625,484.04510498046875,335.1450500488281
251,564.355224609375,365.2469177246094,463.9017639160156,356.5196533203125
